Update,PUBLICATION,,PRICE,DA,DR,GENRE,TAT,SPONSORED,INDEXED,DOFOLLOW,REGION / LOCATION,EROTIC,HEALTH,CBD,CRYPTO,GAMBLING
,Delaware Online,,"$2,500",78,79,News,1-2 Weeks,N,Y,N,DELAWARE,,,,Y,
,The Journal News,,"$2,500",80,79,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Knox News,,"$2,500",84,79,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,The Providence Journal,,"$2,500",78,80,News,1-2 Weeks,N,Y,N,RHODE ISLAND,,,,Y,
,Commercial Appeal,,"$2,500",78,78,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,Asbury Park Press,,"$2,500",81,80,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,Florida Times-Union,,"$2,500",79,80,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Sarasota Herald-Tribune,,"$2,500",79,80,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Louisville News,,"$2,500",81,81,News,1-2 Weeks,N,Y,N,KENTUCKY,,,,Y,
,The Oklahoman,,"$2,500",82,81,News,1-2 Weeks,N,Y,N,OKLAHOMA,,,,Y,
,Palm Beach Post,,"$2,500",84,81,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,North Jersey News,,"$2,500",78,82,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,The Des Moines Register,,"$2,500",82,82,News,1-2 Weeks,N,Y,N,IOWA,,,,Y,
,Cincinnati News,,"$2,500",84,82,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,The Columbus Dispatch,,"$2,500",79,83,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Indianapolis Star,,"$2,500",83,83,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,The Tennessean,,"$2,500",83,84,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,Milwaukee Journal Sentinel,,"$2,500",89,85,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Worcester Telegram,,"$2,500",81,86,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Detroit Free Press,,"$2,500",91,86,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Arizona Central,,"$2,500",90,87,News,1-2 Weeks,N,Y,N,ARIZONA,,,,Y,
,CantonRep,,"$2,500",80,75,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Akron Beacon Journal,,"$2,500",80,77,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Caller Times,,"$2,500",77,73,News,2-3 Weeks,N,Y,N,GLOBAL,,,,,
,Edge Middle East,,"$2,500",66,66,News,1-2 Weeks,N,Y,N,UAE,,,,Y,
,ITP.live,,"$2,500",35,42,News,1-2 Weeks,N,Y,N,GLOBAL,,,,Y,
,Elle India,,"$2,500",68,70,Fashion,1 Week,N,Y,Y,INDIA,,Y,,,
,Rolling Stone (UK),,"$2,500",61,67,Music,1-2 Weeks,Discreet,Y,Y,UNITED KINGDOM,,,Y,Y,
,Elite Daily,,"$2,500",89,84,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Romper,,"$2,500",77,79,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Bustle,,"$2,500",92,89,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,The Zoe Report,,"$2,500",77,80,Fashion,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Fatherly,,"$2,500",80,79,News,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Nylon,,"$2,500",77,80,News,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Inverse,,"$2,500",83,83,News,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Mic,,"$2,500",84,83,News,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Scary Mommy,,"$2,500",80,79,Lifestyle,1-2 Weeks,N,Y,N,UNITED STATES,,,,,
,Success.com,,"$2,500",80,80,News,6-8 Weeks,Discreet,Y,N,UNITED STATES,,,,,
,Elle Canada (1 Year Lifespan),,"$2,500",68,74,Fashion,2 Weeks,N,Y,Y,CANADA,,,,,
,El Paso Times,,"$2,500",77,75,News,1-2 Weeks,N,Y,N,TEXAS,,,,Y,
,Greenville Online,,"$2,500",77,76,News,1-2 Weeks,N,Y,N,SOUTH CAROLINA,,,,Y,
,Shelby Star,,"$2,500",60,61,News,1-2 Weeks,N,Y,N,NORTH CAROLINA,,,,Y,
,Chambersburg Public Opinion,,"$2,500",61,61,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Hanover Evening Sun,,"$2,500",60,62,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Zanesville Times Recorder,,"$2,500",65,62,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Oshkosh Northwestern,,"$2,500",61,64,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Lebanon Daily News,,"$2,500",66,64,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,FDL Reporter,,"$2,500",62,65,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,The Daily Journal,,"$2,500",63,65,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,Livingston Daily,,"$2,500",61,66,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Milford Daily News,,"$2,500",61,66,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,The Town Talk,,"$2,500",62,66,News,1-2 Weeks,N,Y,N,LOUISIANA,,,,Y,
,Sheboygan Press,,"$2,500",62,66,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Burlington County Times,,"$2,500",66,66,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,Columbia Daily Herald,,"$2,500",65,66,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,The Monroe News,,"$2,500",61,67,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Taunton Daily Gazette,,"$2,500",63,67,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Ithaca Journal,,"$2,500",63,67,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Hattiesburg American,,"$2,500",66,67,News,1-2 Weeks,N,Y,N,MISSISSIPPI,,,,Y,
,Leesburg Daily Commercial,,"$2,500",71,67,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Star Gazette,,"$2,500",61,68,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,The Times Herald,,"$2,500",66,68,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,The Leaf Chronicle,,"$2,500",70,68,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,Press Connects,,"$2,500",68,68,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,The Hutchinson News,,"$2,500",71,68,News,1-2 Weeks,N,Y,N,KANSAS,,,,Y,
,Daily News Journal,,"$2,500",64,69,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,Newark Advocate,,"$2,500",61,70,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,The Ames Tribune,,"$2,500",62,70,News,1-2 Weeks,N,Y,N,IOWA,,,,Y,
,Abilene Reporter News,,"$2,500",66,70,News,1-2 Weeks,N,Y,N,TEXAS,,,,Y,
,The Herald-Times,,"$2,500",63,70,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,Houma Today,,"$2,500",62,70,News,1-2 Weeks,N,Y,N,LOUISIANA,,,,Y,
,The News Leader,,"$2,500",62,70,News,1-2 Weeks,N,Y,N,VIRGINIA,,,,Y,
,Jackson Sun,,"$2,500",66,70,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,Battle Creek Enquirer,,"$2,500",66,70,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,The Star Press,,"$2,500",66,70,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,VV Daily Press,,"$2,500",68,70,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,Gaston Gazette,,"$2,500",69,70,News,1-2 Weeks,N,Y,N,NORTH CAROLINA,,,,Y,
,GoSanAngelo,,"$2,500",74,70,News,1-2 Weeks,N,Y,N,TEXAS,,,,Y,
,Petoskey News-Review,,"$2,500",62,71,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Beaver County Times,,"$2,500",63,71,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Times Record,,"$2,500",62,71,News,1-2 Weeks,N,Y,N,ARKANSAS,,,,Y,
,The News Star,,"$2,500",66,71,News,1-2 Weeks,N,Y,N,LOUISIANA,,,,Y,
,The Spectrum,,"$2,500",68,71,News,1-2 Weeks,N,Y,N,UTAH,,,,Y,
,The Bulletin,,"$2,500",70,71,News,1-2 Weeks,N,Y,N,CONNECTICUT,,,,Y,
,Wichita Falls Times-Record-News,,"$2,500",70,71,News,1-2 Weeks,N,Y,N,TEXAS,,,,Y,
,New Jersey Herald,,"$2,500",71,71,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,Visalia Times-Delta,,"$2,500",74,71,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,Holland Sentinel,,"$2,500",63,72,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Utica Observer Dispatch,,"$2,500",64,72,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Amarillo Globe-News,,"$2,500",65,72,News,1-2 Weeks,N,Y,N,TEXAS,,,,Y,
,Iowa City Press-Citizen,,"$2,500",69,72,News,1-2 Weeks,N,Y,N,IOWA,,,,Y,
,Panama City News-Herald,,"$2,500",68,72,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,The Pueblo Chieftain,,"$2,500",69,72,News,1-2 Weeks,N,Y,N,COLORADO,,,,Y,
,Enterprise News,,"$2,500",70,72,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Delmarva Now,,"$2,500",70,72,News,1-2 Weeks,N,Y,N,NEW MEXICO,,,,Y,
,Morris County Daily Record,,"$2,500",67,73,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,Fosters Daily Democrat,,"$2,500",66,73,News,1-2 Weeks,N,Y,N,NEW HAMPSHIRE,,,,Y,
,Ocala StarBanner,,"$2,500",66,73,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Recordnet.com,,"$2,500",66,73,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,Tuscaloosa News,,"$2,500",68,73,News,1-2 Weeks,N,Y,N,ALABAMA,,,,Y,
,GoUpstate,,"$2,500",68,73,News,1-2 Weeks,N,Y,N,SOUTH CAROLINA,,,,Y,
,Northwest Florida Daily News,,"$2,500",69,73,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,St. Cloud Times,,"$2,500",71,73,News,1-2 Weeks,N,Y,N,MINNESOTA,,,,Y,
,Palmbeach Daily News,,"$2,500",73,73,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Phillyburbs,,"$2,500",70,73,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,St. Augustine Record,,"$2,500",71,73,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Rockford Register Star,,"$2,500",71,73,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Fall River Herald News,,"$2,500",63,74,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Columbia Daily Tribune,,"$2,500",66,74,News,1-2 Weeks,N,Y,N,MISSOURI,,,,Y,
,The Augusta Chronicle,,"$2,500",67,74,News,1-2 Weeks,N,Y,N,GEORGIA,,,,Y,
,Shreveport Times,,"$2,500",67,74,News,1-2 Weeks,N,Y,N,LOUISIANA,,,,Y,
,Herald-Mail Media,,"$2,500",70,74,News,1-2 Weeks,N,Y,N,MARYLAND,,,,Y,
,Courier & Press,,"$2,500",69,74,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,MetroWest Daily News,,"$2,500",70,74,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Las Cruces Sun-News,,"$2,500",72,74,News,1-2 Weeks,N,Y,N,NEW MEXICO,,,,Y,
,Kitsap Sun,,"$2,500",71,74,News,1-2 Weeks,N,Y,N,WASHINGTON STATE,,,,Y,
,Great Falls Tribune,,"$2,500",72,74,News,1-2 Weeks,N,Y,N,MONTANA,,,,Y,
,South Coast Today,,"$2,500",68,75,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,South Jersey Courier Post,,"$2,500",68,75,News,1-2 Weeks,N,Y,N,NEW JERSEY,,,,Y,
,The Patriot Ledger,,"$2,500",67,75,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Athens Banner-Herald,,"$2,500",69,75,News,1-2 Weeks,N,Y,N,GEORGIA,,,,Y,
,Pensacola News Journal,,"$2,500",73,75,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Times Herald-Record,,"$2,500",73,75,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Wilmington Star-News,,"$2,500",73,75,News,1-2 Weeks,N,Y,N,NORTH CAROLINA,,,,Y,
,South Bend Tribune,,"$2,500",73,75,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,The State Journal-Register,,"$2,500",74,75,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Daytona Beach News-Journal,,"$2,500",69,76,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,The Poughkeepsie Journal,,"$2,500",70,76,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Argus Leader,,"$2,500",68,76,News,1-2 Weeks,N,Y,N,SOUTH DAKOTA,,,,Y,
,The Register-Guard,,"$2,500",71,76,News,1-2 Weeks,N,Y,N,OREGON,,,,Y,
,VC Star,,"$2,500",73,76,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,Cape Cod Times,,"$2,500",68,77,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Sea Coast Online,,"$2,500",73,77,News,1-2 Weeks,N,Y,N,NEW HAMPSHIRE,,,,Y,
,Savannah Morning News,,"$2,500",72,77,News,1-2 Weeks,N,Y,N,GEORGIA,,,,Y,
,Lakeland Ledger,,"$2,500",73,77,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,The Topeka Capital-Journal,,"$2,500",73,77,News,1-2 Weeks,N,Y,N,KANSAS,,,,Y,
,Treasure Coast News,,"$2,500",74,77,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Pocono Record,,"$2,500",67,72,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Lansing State Journal,,"$2,500",70,76,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Mansfield News Journal,,"$2,500",64,68,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Robb Report Mexico,,"$2,500",44,56,News,1-2 Weeks,N,Y,N,MEXICO,,,,,
,InStyle Mexico,,"$2,500",58,58,News/Fashion,1-2 Weeks,N,Y,N,MEXICO,,,,,
,Elle Quebec,,"$2,500",54,64,Fashion,1 Week,N,Y,Y,CANADA,,,,,
,Wisconsin State Journal,,"$2,500",87,81,News,1 Week,N,Y,Y,WISCONSIN,,Y,Y,Y,
,Robb Report Mexico (English Language),,"$2,500",44,56,News,1-2 Weeks,N,Y,N,MEXICO,,,,Y,
Lowered,Due.com (Syndicates to MSN),,"$2,500",80,77,News,1 Week,N,Y,Y,UNITED STATES,,,,,
New,Robb Report (Africa),,"$2,500",83,84,News,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
New (Posted in German),Nieuwdezeweek,,"$2,500",25,17,Luxury,1-2 Weeks,Y,Y,Y,UNITED STATES,,,,Y,Y
,Travel and Leisure Mexico,,"$2,400",19,14,News,1 Week,Discrete,Y,Y,MEXICO,,,,,
,Fashion Times,,"$2,400",59,53,Fashion,1 Week,N,Y,N,UNITED STATES,,,,,
,Player One,,"$2,400",74,53,News,3-5 Days,Y,Y,N,UNITED STATES,,Y,,Y,
,Forbes Columbia ,,"$2,400",61,73,News,1-2 Weeks,Discreet,Y,Y,COLUMBIA,,,,,
,Forbes Mexico,,"$2,400",89,82,News,1-2 Weeks,Discreet,Y,N,MEXICO,,,,,
,Entrepreneur (India),,"$2,400",92,91,News,1-2 Weeks,N,Y,Y,INDIA,,,,,
,Paste Magazine,,"$2,300",86,83,Music,1 Week,N,Y,Y,GEORGIA,,,,,
,AV Club,,"$2,300",87,82,Lifestyle,1 Week,N,Y,Y,UNITED STATES,,,,,
,Splinter.com,,"$2,300",73,72,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,Jezebel.com,,"$2,300",84,82,Entertainment,1 Week,N,Y,Y,UNITED STATES,,,,,
,Glamour South Africa,,"$2,300",57,58,Fashion,1 Week,N,Y,N,AFRICA,,Y,,,
,GQ South Africa ,,"$2,300",56,62,Fashion,1 Week,N,Y,N,AFRICA,,Y,,,
,Billboard (Italy),,"$2,000",46,51,Music,1 Week,N,Y,Y,ITALY,,,,,
,The Mandarin (Australia),,"$2,000",55,72,Business,3-5 Weeks,Discrete,Y,N,AUSTRALIA,,,,,
,OK! Magazine,,"$2,000",81,75,Entertainment,3-5 Days,N,Y,Y,UNITED STATES,,Y,Y,Y,Y
,Techopedia (Mention),,"$2,000",79,88,News,1 Week,N,Y,Y,UNITED STATES,,,,,
,Bust Magazine (Do-Follow),,"$2,000",74,75,Business,1-3 Days,N,Y,Y,UNITED STATES,,,,,
,Harper's Bazaar (Australia),,"$2,000",72,73,Fashion,3-5 Weeks,N,Y,Y,AUSTRALIA,,,,,
,Men's Health (Australia),,"$2,000",62,67,Lifestyle,3-5 Weeks,N,Y,Y,AUSTRALIA,,,,,
,Esquire (Australia),,"$2,000",32,32,Fashion,3-5 Weeks,N,Y,Y,AUSTRALIA,,,,,
,Women's Health (Australia),,"$2,000",59,70,Lifestyle,3-5 Weeks,N,Y,Y,AUSTRALIA,,,,,
,The Daily Jeffersonian,,"$2,000",50,55,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Marie Claire (Netherlands),,"$2,000",42,60,Fashion,1 Week,N,Y,Y,NETHERLANDS,,,,,
,Attitude,,"$2,000",76,72,News,1-2 Weeks,N,Y,Y,UNITED KINGDOM,,,Y,Y,
,Cryptonomist,,"$2,000",51,73,Crypto,3 Days,Discreet,Y,N,GLOBAL,,Y,,Y,
,Law & Crime,,"$2,000",80,75,Legal,3-5 Days,Discreet,Y,Y,GLOBAL,,,,,
,Mediate,,"$2,000",83,78,Alcohol,3-5 Days,Discreet,Y,N,GLOBAL,,,,,
,Smart Company Australia,,"$2,000",66,80,News,2-3 Weeks,Discreet,Y,N,AUSTRALIA,,,,,
,Cheboygan Daily Tribune,,"$2,000",52,48,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Reporter-Times,,"$2,000",51,48,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,Lincoln Courier,,"$2,000",53,48,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Kewanee Star Courier,,"$2,000",48,49,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Canton Daily Ledger,,"$2,000",51,49,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Times-Mail,,"$2,000",53,49,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,Pontiac Daily Leader,,"$2,000",50,50,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Tri-County Independent,,"$2,000",55,50,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,Coldwater Daily Reporter,,"$2,000",53,51,News,1-2 Weeks,N,Y,N,CALIFORNIA,,,,Y,
,McDonough County Voice,,"$2,000",50,52,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,The Record Herald,,"$2,000",55,52,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,The Gardener News,,"$2,000",42,53,News,1-2 Weeks,N,Y,N,MASSACHUSETTS,,,,Y,
,Sturgis Journal,,"$2,000",53,53,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,The Sault News,,"$2,000",53,54,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,The Times Telegram,,"$2,000",51,54,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Bucyrus Telegraph-Forum,,"$2,000",55,54,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Port Clinton News Herald,,"$2,000",54,54,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Corning Leader,,"$2,000",57,55,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Marshfield News Herald,,"$2,000",56,55,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Henderson News,,"$2,000",50,55,News,1-2 Weeks,N,Y,N,KENTUCKY,,,,Y,
,Ashland TImes Gazette ,,"$2,000",54,55,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Hillsdale Daily News,,"$2,000",52,56,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Ruidoso News,,"$2,000",53,56,News,1-2 Weeks,N,Y,N,NEW MEXICO,,,,Y,
,Pekin Daily Times,,"$2,000",55,56,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Winter Haven News Chief,,"$2,000",60,56,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,Daily World,,"$2,000",55,57,News,1-2 Weeks,N,Y,N,LOUISIANA,,,,Y,
,Watertown Public Opinion,,"$2,000",56,58,News,1-2 Weeks,N,Y,N,SOUTH DAKOTA,,,,Y,
,Ellwood City Ledger,,"$2,000",54,58,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,The Evening Tribune,,"$2,000",57,58,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,Freeport Journal Standard,,"$2,000",57,58,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Pal-item,,"$2,000",58,58,News,1-2 Weeks,N,Y,N,INDIANA,,,,Y,
,Oakridger,,"$2,000",56,60,News,1-2 Weeks,N,Y,N,TENNESSEE,,,,Y,
,Coshocton Tribune,,"$2,000",57,60,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Examiner-Enterprise,,"$2,000",59,61,News,1-2 Weeks,N,Y,N,OKLAHOMA,,,,Y,
,Wisconsin Rapids Tribune,,"$2,000",59,61,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Daily Comet,,"$2,000",60,61,News,1 Week,N,Y,N,LOUISIANA,,,,Y,
,Stevens Point Journal,,"$2,000",57,62,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,Massillon Independent,,"$2,000",59,63,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Salina Journal,,"$2,000",60,63,News,1-2 Weeks,N,Y,N,KANSAS,,,,Y,
,Fremont News Meesenger,,"$2,000",57,63,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Daily American Online,,"$2,000",57,64,News,1-2 Weeks,N,Y,N,PENNSYLVANIA,,,,Y,
,The Daily Telegram,,"$2,000",58,64,News,1-2 Weeks,N,Y,N,MICHIGAN,,,,Y,
,Chillicothe Gazette,,"$2,000",61,64,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Lancaster Eagle-Gazette,,"$2,000",58,65,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Galesburg Register Mail,,"$2,000",59,65,News,1-2 Weeks,N,Y,N,ILLINOIS,,,,Y,
,Daily Messenger,,"$2,000",60,65,News,1-2 Weeks,N,Y,N,NEW YORK,,,,Y,
,The Marion Star,,"$2,000",61,65,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,The Progress-Index,,"$2,000",60,66,News,1-2 Weeks,N,Y,N,VIRGINIA,,,,Y,
,Herald Times Reporter,,"$2,000",60,66,News,1-2 Weeks,N,Y,N,WISCONSIN,,,,Y,
,The Gadsden Times,,"$2,000",61,67,News,1-2 Weeks,N,Y,N,ALABAMA,,,,Y,
,The Newport Daily News,,"$2,000",58,71,News,1-2 Weeks,N,Y,N,RHODE ISLAND,,,,Y,
,The Daily Advertiser,,"$2,000",68,73,News,1-2 Weeks,N,Y,N,LOUISIANA,,,,Y,
,Winter Haven News Chief,,"$2,000",60,56,News,1-2 Weeks,N,Y,N,FLORIDA,,,,Y,
,The Alliance Review,,"$2,000",54,63,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Kent Ravenna Record-Courier,,"$2,000",55,62,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,Times Reporter,,"$2,000",60,65,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,The Daily Record,,"$2,000",57,66,News,1-2 Weeks,N,Y,N,OHIO,,,,Y,
,House & Garden Africa,,"$2,000",45,46,Real Estate,1 Week,N,Y,N,AFRICA,,Y,,,
,Bottle Raiders,,"$2,000",36,45,Lifestyle,1 Week,N,Y,N,UNITED STATES,,,,,
,Food and Wine Español,,"$2,000",49,55,LifeStyle,1-2 Weeks,Y,Y,N,MEXICO,,,,,
,Fault Magazine,,"$2,000",60,55,Entertainment,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
New (Posted in German),Nextplay,,"$2,000",19,38,Tech,1-2 Weeks,Y,Y,Y,UNITED STATES,,,,Y,Y
,Reuters (Press Release),,"$1,800",94,92,News,1-2 Weeks,Y,Y,Y,UNITED STATES,,,,,
,21 Oak,,"$1,700",35,48,News,1 Week,N,Y,N,UNITED STATES,,,,,
,Pasadena Magazine,,"$1,700",40,47,News,1 Week,N,Y,Y,CALIFORNIA,,,,,
,Orange Coast Magazine,,"$1,700",55,68,News,1 Week,N,Y,Y,CALIFORNIA,,,,,
,LA Mag,,"$1,700",83,81,News,1 Week,N,Y,Y,CALIFORNIA,,,,,
,Hollywood Unlocked,,"$1,700",65,54,Enterainment ,1 Week,N,Y,Y,LOS ANGELES,,,,,
New,Star Magazine,,"$1,700",64,62,Entertainment,3-5 Days,N,Y,Y,UNITED STATES,,Y,Y,Y,
New,National Enquirer,,"$1,700",75,70,Entertainment,3-5 Days,N,Y,Y,UNITED STATES,,Y,Y,Y,
New,Yahoo Entertainment,,"$1,700",95,92,Entertainment,5 Days,N,Y,N,UNITED STATES,,,,,
,Gulf Times,,"$1,600",74,76,News,1-2 Weeks,N,Y,Y,DUBAI,,,,,
,Playboy (Netherlands),,"$1,600",37,38,Entertainment,1 Week,N,Y,Y,NETHERLANDS,,Y,,,
,Mashable (NL),,"$1,600",93,91,News,1 Week,N,Y,Y,NETHERLANDS,,Y,Y,Y,Y
,The New Boston,,"$1,500",50,49,News,1-2 Weeks,N,Y,Y,UNITED STATES,,,,,
,ColoradoBiz.com,,"$1,500",49,67,News,3-5 Days,N,Y,Y,COLORADO,,,,Y,
,Idaho Business Review,,"$1,500",54,52,News,3-5 Days,N,Y,Y,IDAHO,,,,Y,
,New Orleans City Business,,"$1,500",55,68,News,3-5 Days,N,Y,Y,LOUISIANA,,,,Y,
,Maryland Daily Record,,"$1,500",60,74,News,3-5 Days,N,Y,N,MARYLAND,,,,Y,
,Massachusetts Lawyers Weekly,,"$1,500",49,67,News,3-5 Days,N,Y,N,MASSACHUSETTS,,,,Y,
,Michigan Lawyers Weekly,,"$1,500",40,54,Legal,3-5 Days,N,Y,N,MICHIGAN,,,,Y,
